M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100
19.9 to 20.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20 to 21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.1 to 21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.2 to 21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.3 to 21.3	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9
20.4 to 21.4	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9
20.5 to 21.5	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9
20.6 to 21.6	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9
20.7 to 21.7	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9
20.8 to 21.8	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9	11	34	14	50	14	11	3	50	15	15	14	14	21	16	8	5	20	11	50	14	9
20.9 to 21.9	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22
21 to 22	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22
21.1 to 22.1	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22
21.2 to 22.2	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22	21	67	29	51	14	56	22	61	26	26	43	28	41	25	32	25	26	38	66	20	22
21.3 to 22.3	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13
21.4 to 22.4	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13
21.5 to 22.5	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13
21.6 to 22.6	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13
21.7 to 22.7	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13
21.8 to 22.8	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13	10	33	15	1	0	45	19	11	11	11	29	14	20	9	24	20	6	27	16	6	13
21.9 to 22.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22 to 23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.1 to 23.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22.2 to 23.2	14	12	16	23	7	7	21	17	24	16	1	17	30	18	3	15	20	13	15	7	11	14	12	16	23	7	7	21	17	24	16	1	17	30	18	3	15	20	13	15	7	11	14	12	16	23	7	7	21	17	24	16	1	17	30	18	3	15	20	13	15	7	11	14	12	16	23	7	7	21	17	24	16	1	17	30	18	3	15	20	13	15	7	11	14	12	16	23	7	7	21	17	24	16	1	17	30	18	3	15
22.3 to 23.3	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41
22.4 to 23.4	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41
22.5 to 23.5	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41	46	39	33	23	26	49	19	29	38	40	27	36	41	40	24	6	36	45	68	13	41
22.6 to 23.6	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60
22.7 to 23.7	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60
22.8 to 23.8	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60	64	47	44	48	26	66	58	40	49	54	33	65	71	44	34	12	64	82	75	45	60
22.9 to 23.9	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73
23 to 24	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73
23.1 to 24.1	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73	87	55	48	79	27	82	77	56	60	73	48	89	84	66	60	41	71	92	87	55	73
23.2 to 24.2	68	65	40	37	66	41	68	67	42	44	40	54	62	69	52	58	67	42	33	72	16	68	65	40	37	66	41	68	67	42	44	40	54	62	69	52	58	67	42	33	72	16	68	65	40	37	66	41	68	67	42	44	40	54	62	69	52	58	67	42	33	72	16	68	65	40	37	66	41	68	67	42	44	40	54	62	69	52	58	67	42	33	72	16	68	65	40	37	66	41	68	67	42	44	40	54	62	69	52	58
23.3 to 24.3	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65
23.4 to 24.4	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65
23.5 to 24.5	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65	90	44	42	84	30	59	105	69	56	49	51	93	74	44	64	68	50	123	48	64	65
23.6 to 24.6	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46
23.7 to 24.7	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46
23.8 to 24.8	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46	72	36	31	59	30	42	66	58	45	35	45	64	44	40	54	62	22	86	41	32	46
23.9 to 24.9	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33
24 to 25	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33
24.1 to 25.1	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33
24.2 to 25.2	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33	49	28	27	28	29	26	47	42	34	16	30	40	31	18	28	33	15	76	29	22	33
24.3 to 25.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.4 to 25.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.5 to 25.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.6 to 25.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.7 to 25.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.8 to 25.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24.9 to 25.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25 to 26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.1 to 26.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.2 to 26.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.3 to 26.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.4 to 26.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.5 to 26.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25.6 to 26.6	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33
25.7 to 26.7	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33
25.8 to 26.8	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33
25.9 to 26.9	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33
26 to 27	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33
26.1 to 27.1	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33
26.2 to 27.2	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33
26.3 to 27.3	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33	15	17	31	9	11	4	37	31	20	3	23	5	16	35	12	10	33	27	9	13	33
